1.06,0.24,11.53
1.10,0.24,11.53
1.18,0.20,11.53
1.06,0.31,11.30
1.10,0.12,11.38
1.14,0.16,11.26
1.22,0.24,11.14
1.14,0.43,10.87
1.02,0.24,11.26
1.10,0.20,11.41
1.14,0.24,11.45
1.06,0.24,11.49
1.10,0.24,11.26
1.10,0.31,11.22
1.06,0.27,11.26
1.02,0.12,11.45
1.14,0.27,11.18
1.14,0.24,11.30
1.10,0.31,11.26
1.10,0.16,11.22
1.14,0.20,11.41
1.10,0.24,11.38
1.10,0.24,11.30
1.14,0.24,11.18
1.14,0.27,11.38
1.10,0.31,11.02
1.06,0.20,11.41
1.18,0.39,11.18
1.02,0.24,12.16
1.06,0.35,11.49
1.14,0.63,10.90
1.14,0.55,10.75
1.26,0.31,10.83
1.10,0.31,10.87
1.10,0.31,11.26
1.06,0.24,11.45
1.22,0.24,11.26
1.18,0.35,11.38
1.10,0.24,11.53
0.98,0.12,11.65
1.02,0.12,11.45
1.18,0.35,11.26
1.26,0.39,10.83
1.22,0.39,10.98
1.06,0.20,11.14
1.06,0.16,11.49
1.06,0.12,11.85
0.98,0.35,11.53
1.29,0.63,11.26
1.06,0.59,10.79
0.94,0.24,11.65
0.98,-0.20,11.89
1.22,0.24,11.10
1.14,0.47,11.22
1.18,0.31,11.10
0.98,0.35,11.45
1.10,0.27,11.26
1.10,0.24,11.38
1.10,0.12,11.34
1.02,0.31,11.38
1.10,0.24,11.34
1.02,0.16,11.34
1.10,0.27,11.22
1.06,0.24,11.38
1.14,0.12,11.26
1.06,0.12,11.38
1.14,0.27,11.30
0.98,0.04,11.85
1.22,-0.35,12.32
1.06,0.08,10.71
1.88,-0.51,11.96
1.14,0.35,10.98
0.94,-0.24,12.36
1.26,0.90,10.47
1.02,0.20,11.69
1.10,0.20,10.87
1.18,0.20,11.45
1.18,0.55,10.98
1.14,0.27,11.18
1.14,0.24,11.49
1.22,0.31,11.34
1.06,0.35,11.18
1.18,0.20,11.22
1.10,0.20,11.22
1.06,0.31,11.49
1.10,0.24,11.41
1.14,0.20,11.45
1.06,0.24,11.22
1.14,0.24,11.26
1.26,0.24,11.30
1.14,0.35,11.34
1.18,0.16,11.26
1.26,0.47,11.10
1.14,0.63,10.75
1.06,0.24,10.87
0.94,0.24,11.10
1.22,0.00,11.57
1.33,0.47,10.59
1.18,0.31,10.63
1.06,0.08,11.81
1.02,0.16,11.92
1.22,0.24,11.41
0.98,0.20,11.89
1.02,0.27,11.26
1.10,0.35,11.41
1.22,0.43,10.90
1.26,0.55,10.55
1.22,0.43,11.14
1.02,0.31,10.87
1.10,0.00,11.85
1.10,0.20,11.81
1.18,0.16,11.14
1.18,0.20,11.45
1.22,0.27,11.06
1.06,0.35,10.98
1.10,0.12,11.77
1.10,0.39,11.26
1.14,0.35,11.41
1.02,0.04,11.61
1.14,0.35,11.26
