1.10,0.27,11.49
1.18,0.35,11.34
1.10,0.00,11.41
1.06,0.39,11.18
1.10,0.35,11.10
1.10,0.20,11.61
1.18,0.27,10.94
1.22,0.24,11.41
1.06,0.31,11.22
1.06,0.31,11.14
1.02,0.20,11.41
1.06,0.20,11.49
1.06,0.24,11.34
1.18,0.12,11.26
1.14,0.27,11.10
1.14,0.35,11.22
1.18,0.20,11.30
1.18,0.31,11.45
1.14,0.27,11.34
1.06,0.20,11.18
1.06,0.27,11.41
1.10,0.20,11.41
1.10,0.12,11.41
1.18,0.20,11.26
1.10,0.35,11.06
1.14,0.27,11.18
1.02,0.20,11.41
1.10,0.31,11.22
1.18,0.27,11.38
1.10,0.20,11.30
1.14,0.16,11.34
1.18,0.43,11.10
1.18,0.20,11.34
1.10,0.20,11.30
1.14,0.35,11.14
1.06,0.12,11.53
1.02,0.08,11.61
1.10,0.24,11.49
1.22,0.27,11.02
1.29,0.27,10.90
1.18,0.35,11.06
1.14,0.31,11.22
0.98,0.16,11.49
1.06,0.24,11.61
1.14,0.35,11.45
1.22,0.24,11.34
1.14,0.31,11.10
1.06,0.35,11.26
1.06,0.16,11.41
1.18,0.27,11.22
1.18,0.12,11.45
1.06,0.16,11.45
0.98,0.24,11.38
1.06,0.20,11.22
1.22,0.24,11.22
1.06,0.31,11.38
1.06,0.16,11.38
1.06,0.24,11.49
1.06,0.12,11.26
1.26,0.35,11.14
1.18,0.31,11.41
0.90,-0.27,11.49
0.94,0.12,12.12
1.18,0.31,11.45
1.02,0.24,11.65
1.06,0.24,11.38
1.14,0.31,11.49
1.22,0.27,11.34
1.14,0.24,11.22
1.10,0.27,11.22
1.14,0.16,11.41
1.10,0.16,11.38
1.10,0.24,11.30
1.14,0.31,11.45
1.02,0.24,11.38
1.06,0.24,11.49
1.22,0.31,11.34
1.14,0.27,11.18
1.10,0.24,11.22
1.14,0.20,11.10
0.78,0.43,10.71
0.86,-0.08,11.61
1.29,0.12,11.92
1.18,0.24,11.02
1.10,0.20,11.26
1.10,0.43,11.18
0.98,0.24,11.30
1.18,0.00,11.61
1.10,0.35,11.22
1.14,0.43,10.98
1.10,0.20,11.10
1.06,0.08,11.38
1.18,0.47,11.18
1.14,0.27,11.22
1.06,0.20,11.10
1.61,-0.04,13.26
1.92,-0.51,11.89
0.94,0.12,11.81
1.26,0.04,10.71
1.22,0.24,10.83
1.06,0.08,11.38
1.14,0.39,11.61
1.14,0.16,11.45
1.14,0.08,11.22
1.10,0.35,11.18
1.10,0.43,11.45
1.06,0.12,11.61
1.18,0.24,11.14
1.06,0.16,11.34
1.14,0.31,11.34
1.10,0.20,11.34
1.10,0.20,11.10
1.14,0.12,11.22
1.10,0.16,11.34
1.10,0.31,11.18
1.14,0.08,11.41
1.14,0.12,11.41
0.94,0.31,11.30
1.06,0.27,12.12
0.90,0.16,11.26
