1.18,0.12,11.61
1.06,0.16,11.41
1.06,0.31,11.26
1.02,0.31,11.45
1.10,0.24,11.34
1.10,0.31,11.26
1.10,0.24,11.22
1.14,0.39,10.87
1.14,0.24,11.38
1.10,0.24,11.41
1.06,0.35,11.30
1.10,0.31,11.30
1.14,0.16,11.34
1.18,0.31,11.22
1.14,0.24,11.45
1.10,0.20,11.22
1.10,0.24,11.38
1.10,0.12,11.41
1.06,0.16,11.34
1.10,0.35,11.38
1.14,0.31,11.38
1.06,0.24,11.38
1.14,0.35,11.45
1.06,0.43,11.26
1.18,0.24,11.34
1.10,0.31,11.26
1.10,0.24,11.34
1.10,0.27,11.30
1.10,0.16,11.34
1.10,0.31,11.22
1.06,0.31,11.38
1.06,0.16,11.34
1.14,0.35,11.41
1.18,0.39,11.14
1.10,0.16,11.18
1.18,0.39,11.26
1.14,0.31,11.38
1.06,0.16,11.30
1.10,0.24,11.45
1.10,0.27,11.26
1.26,0.20,11.26
1.45,0.08,11.34
0.98,-0.04,11.53
0.90,0.08,11.61
1.18,0.20,11.57
1.26,0.51,10.94
1.22,0.27,11.26
1.02,0.12,11.41
1.06,0.24,10.59
1.02,0.20,11.41
1.22,0.59,10.71
1.02,0.35,10.90
1.06,0.20,11.45
1.18,0.24,11.57
1.06,0.04,11.69
1.10,-0.08,11.81
1.14,0.47,11.02
1.10,0.16,11.73
1.10,0.08,11.61
1.06,0.24,10.98
1.14,0.24,11.30
1.26,0.31,11.02
1.14,0.43,11.14
1.22,0.24,11.22
1.10,0.35,11.22
1.10,0.31,11.22
1.14,0.47,11.49
1.18,0.35,11.30
1.10,0.20,11.26
1.02,0.43,11.26
0.98,0.16,11.77
1.10,0.20,11.49
1.18,0.16,11.38
1.14,0.35,11.30
1.14,0.24,11.14
1.14,0.35,11.38
1.22,0.35,11.06
1.14,0.12,11.45
1.10,0.31,11.30
1.14,0.39,11.38
1.29,0.12,11.26
1.14,0.16,11.34
1.10,0.39,11.14
1.18,0.31,11.26
1.06,0.16,11.49
1.26,0.27,11.10
1.33,0.43,11.14
1.22,-0.12,11.57
1.33,0.27,10.79
1.26,0.00,12.24
1.26,-0.04,11.14
1.37,0.27,11.49
1.18,0.35,11.02
1.26,0.08,12.16
1.10,0.20,11.45
0.90,0.16,12.12
1.14,0.63,10.87
1.10,0.16,11.30
1.29,0.16,11.73
1.14,0.35,11.26
1.10,0.47,11.10
1.14,0.20,11.34
1.10,0.16,11.45
1.10,0.12,11.92
1.18,0.16,11.73
1.18,0.35,11.06
1.18,0.31,10.83
1.14,0.24,11.38
1.22,0.47,11.14
0.98,0.00,11.85
1.14,0.00,11.69
1.14,0.43,11.34
1.10,0.20,11.69
1.29,0.31,10.51
1.06,0.24,11.73
1.18,0.20,11.34
1.10,0.08,11.41
1.02,0.08,11.57
1.06,0.24,11.49
1.02,0.35,10.87
