1.18,0.31,11.34
1.14,0.27,11.34
1.10,0.24,11.34
1.14,0.27,11.38
1.06,0.35,11.18
1.14,0.35,11.18
1.14,0.27,11.14
1.18,0.31,11.26
1.10,0.24,11.26
1.10,0.24,11.38
1.06,0.35,11.38
1.06,0.16,11.53
1.14,0.20,11.30
1.14,0.31,11.22
1.10,0.31,11.30
1.18,0.24,11.22
1.10,0.20,11.41
1.14,0.35,11.22
1.14,0.20,11.38
1.14,0.24,11.34
1.10,0.20,11.26
1.10,0.24,11.30
1.06,0.27,11.26
1.14,0.20,11.38
1.06,0.31,11.22
1.06,0.24,11.49
1.10,0.20,11.38
1.14,0.16,11.53
1.10,0.35,11.26
1.10,0.31,11.30
1.10,0.24,11.26
1.10,0.20,11.53
1.10,0.27,11.34
1.14,0.20,11.26
1.14,0.24,11.30
1.10,0.31,11.26
1.02,0.20,11.41
1.10,0.20,11.41
1.18,0.27,11.45
1.14,0.27,11.18
1.14,0.27,11.18
1.18,0.24,11.30
1.14,0.16,11.38
1.14,0.16,11.41
1.10,0.20,11.38
1.14,0.27,11.34
1.10,0.31,11.30
1.14,0.24,11.30
1.10,0.24,11.34
1.10,0.08,11.57
1.10,0.27,11.45
1.10,0.20,11.57
1.10,0.20,10.90
1.18,0.00,11.57
1.10,0.16,11.69
1.10,0.12,11.65
1.14,0.27,11.10
1.22,0.35,11.26
1.14,0.27,11.22
1.06,0.24,11.34
1.10,0.16,11.57
1.10,0.16,11.53
1.06,0.16,11.34
1.10,0.20,11.26
1.10,0.24,11.30
1.14,0.24,11.30
1.10,0.16,11.34
1.18,0.20,11.26
1.14,0.27,11.30
1.49,0.39,10.20
0.94,0.63,11.14
1.02,-0.08,12.71
1.02,0.20,11.41
1.29,0.08,11.34
1.29,0.67,10.51
1.14,0.35,10.43
1.02,0.27,11.06
0.98,0.31,11.10
1.06,0.08,11.65
1.10,0.31,11.22
1.10,0.24,11.22
1.14,0.24,11.14
1.14,0.20,11.38
1.06,0.12,11.65
1.02,0.16,11.41
1.02,0.20,11.38
1.02,0.35,11.77
1.10,0.00,11.69
1.18,0.24,11.02
1.22,0.16,10.75
1.10,0.08,10.98
1.14,0.39,11.02
1.10,0.20,11.85
1.10,0.27,11.49
1.26,0.12,10.32
1.18,0.20,11.41
1.22,0.47,11.81
0.98,-0.20,11.34
1.14,-0.04,11.41
0.90,0.20,11.02
1.14,0.35,11.38
1.14,0.24,11.26
1.10,0.20,11.30
1.14,0.27,11.34
1.10,0.27,11.30
1.14,0.35,10.98
1.10,0.24,11.69
1.10,0.27,11.41
0.78,0.27,12.12
1.10,0.55,11.02
1.02,0.16,11.38
0.90,-0.08,11.96
1.14,0.35,11.57
1.26,0.51,10.94
0.94,-0.08,11.69
1.14,0.16,11.22
1.22,0.51,10.83
0.98,-0.04,11.38
1.06,-0.04,11.34
1.14,0.08,11.26
