1.06,0.27,11.41
1.18,0.31,10.71
1.22,0.43,10.94
1.18,0.20,11.45
1.10,0.24,11.45
1.10,0.16,11.34
1.06,0.39,11.10
1.06,0.08,11.65
1.10,0.12,11.45
1.22,0.08,11.22
1.06,0.20,11.34
1.10,0.20,11.45
1.18,0.39,11.14
1.02,0.31,11.34
1.26,0.27,11.38
0.94,0.27,11.38
1.18,0.51,10.40
1.02,0.08,11.34
1.14,-0.04,11.38
1.18,0.04,11.73
1.02,0.20,11.18
1.22,0.51,10.75
0.86,0.31,11.34
1.18,0.24,11.57
1.10,0.04,11.77
1.06,0.12,11.34
1.06,0.43,11.45
1.22,0.00,11.18
1.06,0.12,11.69
1.06,0.39,11.10
1.10,0.20,11.30
1.10,0.20,11.41
1.10,0.47,11.61
1.10,0.43,11.26
1.18,0.71,10.63
1.29,0.24,10.98
1.06,0.04,11.61
1.06,0.31,11.57
1.06,0.27,11.26
1.06,0.20,11.26
1.18,0.16,11.49
1.10,0.31,11.41
1.18,0.24,11.30
1.02,0.43,11.30
1.10,0.20,11.73
1.10,0.20,11.41
1.14,0.20,11.18
1.14,0.20,11.38
1.06,0.31,11.18
1.10,0.24,11.14
1.18,0.31,11.30
1.14,0.39,11.18
1.14,0.31,11.34
1.14,0.12,11.30
1.14,0.24,11.41
1.69,0.04,11.57
0.98,0.12,9.49
1.14,1.02,15.42
1.22,-0.47,13.14
1.22,0.39,9.96
1.02,0.12,10.83
0.94,0.27,11.18
1.29,-0.16,12.47
0.98,0.04,11.69
1.29,0.27,11.53
0.98,0.35,11.30
1.18,0.59,11.06
1.18,0.27,11.06
1.18,0.24,11.06
1.10,0.47,11.22
1.14,0.43,11.22
1.10,0.20,11.14
1.14,0.20,11.26
1.10,0.43,11.30
1.14,0.35,11.18
1.06,0.08,11.14
1.14,0.24,11.45
1.41,0.75,10.71
1.41,0.35,11.10
1.10,0.47,11.22
1.10,0.51,10.79
1.22,0.12,11.34
0.78,0.08,10.51
1.10,0.31,11.06
1.18,0.12,11.14
1.18,0.43,11.26
1.10,0.31,11.22
1.10,0.12,11.02
1.06,0.20,10.98
1.18,0.35,11.53
1.06,0.16,11.38
1.14,0.27,11.34
1.14,0.27,11.38
1.10,0.27,11.57
1.10,0.27,11.34
1.06,-0.75,11.69
1.29,0.39,11.89
0.90,1.14,10.51
1.49,1.84,7.14
0.98,0.63,11.45
1.26,-0.20,11.02
1.22,0.31,10.90
1.26,0.47,11.53
1.10,0.20,11.69
1.18,0.04,11.41
1.06,0.24,11.26
1.26,0.20,11.49
1.14,0.08,11.30
1.22,0.51,11.18
1.22,0.39,11.34
1.10,0.35,11.14
1.06,0.20,11.45
1.22,0.27,11.18
1.18,0.24,11.22
1.10,0.27,11.22
1.10,0.12,11.41
1.06,0.20,11.18
1.10,0.35,11.26
1.06,0.16,11.14
0.98,0.27,11.34
