1.10,0.16,11.18
1.10,0.24,11.30
1.18,0.47,11.18
1.06,0.12,11.49
1.06,0.20,11.26
1.10,0.20,11.34
1.06,0.20,11.34
1.10,0.20,11.30
1.10,0.20,11.34
1.18,0.20,11.30
1.18,0.24,11.49
1.10,0.27,11.30
1.06,0.27,11.30
1.22,0.20,11.14
1.14,0.27,11.26
1.06,0.39,11.34
1.02,0.08,11.45
1.10,0.35,11.41
1.10,0.35,11.18
1.18,0.20,11.34
1.10,0.31,11.22
1.14,0.31,11.45
1.10,0.24,11.34
1.18,0.24,11.38
1.10,0.43,11.06
1.10,0.24,11.34
1.14,0.00,11.57
1.14,0.24,11.49
1.10,0.31,11.18
1.10,0.16,11.34
1.10,0.27,11.38
1.10,0.20,11.45
1.14,0.24,11.30
1.10,0.27,11.34
1.14,0.35,11.22
1.18,0.24,11.30
0.98,0.31,11.41
1.22,0.35,11.18
1.18,0.24,11.41
1.06,0.16,11.53
1.10,0.27,11.53
1.10,0.12,11.45
1.10,0.24,10.98
1.14,0.31,11.22
1.14,0.08,11.18
1.10,0.16,11.41
1.14,0.43,11.38
1.10,0.08,11.41
1.06,0.08,11.26
1.14,0.51,11.34
1.10,0.27,11.10
1.06,0.08,11.41
1.22,0.27,11.38
1.18,0.35,11.41
1.10,0.12,11.30
1.10,0.27,11.18
1.10,0.24,11.22
1.18,0.24,11.41
1.14,0.20,11.65
1.14,0.24,11.26
1.14,0.24,11.41
1.10,0.39,11.34
1.14,0.47,11.26
1.06,0.31,11.65
1.02,0.16,11.45
1.10,0.43,11.69
1.26,0.71,10.55
1.14,0.08,11.45
1.26,0.16,11.14
1.18,0.31,11.26
1.10,0.43,11.02
1.06,0.31,11.26
1.18,0.20,11.53
1.06,0.20,11.45
1.10,0.27,11.49
1.14,0.20,11.14
1.14,0.24,11.18
1.14,0.35,11.02
1.02,-0.12,11.85
1.06,0.35,10.75
1.06,0.12,11.45
0.98,0.27,11.10
0.98,0.24,11.49
1.10,0.20,11.38
1.14,0.12,11.26
0.94,-0.47,12.83
0.98,-0.67,13.38
1.73,0.24,10.20
1.26,0.51,10.67
1.10,-0.04,11.96
1.18,0.12,11.41
1.02,0.12,11.53
1.22,0.24,11.26
1.10,0.31,11.06
1.18,0.27,11.26
0.98,0.31,11.30
1.10,0.12,11.30
1.18,0.16,11.34
1.06,0.27,11.26
1.10,0.24,11.22
1.10,0.16,11.49
1.18,0.16,11.38
1.14,0.27,10.79
0.90,-0.04,12.00
1.26,0.12,10.94
0.94,0.47,10.83
1.14,0.47,11.61
1.10,0.24,11.53
1.18,0.20,11.18
1.14,0.24,11.77
1.14,0.20,11.65
1.10,0.24,11.14
1.14,0.20,11.38
1.06,0.31,11.14
1.10,0.24,10.98
1.02,0.12,11.57
1.18,0.24,11.30
1.10,0.31,11.30
1.14,0.35,11.30
1.06,0.27,11.14
