1.10,0.12,11.38
1.14,0.39,11.30
1.22,0.08,11.53
1.26,0.27,11.57
1.26,0.24,11.34
1.10,0.24,11.14
1.06,0.12,11.06
1.06,0.08,11.34
1.06,0.12,11.65
1.14,0.20,11.57
1.06,0.27,11.41
1.02,0.24,11.30
1.18,0.27,11.34
1.06,0.47,10.87
1.14,0.39,11.30
1.06,0.20,11.57
0.98,0.12,11.02
1.14,0.39,10.98
1.18,0.24,11.34
1.14,0.35,10.55
1.18,0.31,11.06
1.10,0.20,11.38
1.14,0.24,11.53
1.02,0.24,11.30
1.14,-0.12,11.96
1.10,0.59,11.26
1.14,0.12,11.34
1.10,0.35,10.83
1.10,0.24,11.14
1.10,0.43,10.98
1.26,0.20,11.34
1.14,0.20,11.61
1.18,0.27,10.98
1.10,0.39,11.14
1.14,0.35,11.10
0.98,0.12,11.45
1.18,0.20,11.45
1.14,0.27,11.38
1.10,0.27,11.14
1.06,0.20,11.57
1.18,0.08,11.34
1.14,0.12,11.61
1.18,0.35,11.30
1.18,0.00,11.34
1.06,0.08,11.92
1.10,0.08,11.73
0.94,0.31,11.30
1.29,0.24,11.10
1.10,0.27,11.34
1.18,0.08,11.53
1.06,0.27,11.41
1.14,0.39,11.14
1.10,0.59,10.98
1.10,0.27,11.30
1.22,0.39,11.26
1.18,0.20,11.26
1.22,0.16,11.73
1.10,0.12,11.34
1.14,0.20,11.06
1.10,0.24,11.45
1.06,0.04,11.69
0.94,0.39,11.49
1.26,0.27,11.30
1.06,0.08,9.89
1.14,-0.04,11.57
1.02,0.08,11.89
1.18,-0.04,11.41
1.02,0.51,10.67
1.26,0.43,11.26
1.06,0.39,11.22
1.02,0.04,11.53
1.14,0.47,11.18
1.18,0.39,10.94
1.10,0.31,10.98
1.02,0.31,11.61
1.18,0.16,11.34
1.06,0.16,11.34
1.06,0.24,11.26
1.10,0.35,11.38
1.14,0.20,11.41
1.14,0.16,11.41
1.14,0.20,11.30
1.10,0.35,11.02
1.10,0.27,11.26
1.18,0.39,11.81
1.26,-0.16,11.65
0.78,0.51,11.81
1.33,0.51,11.10
1.26,0.27,10.71
1.02,0.24,11.81
1.26,0.27,10.71
1.02,0.31,11.38
1.10,0.04,11.73
1.06,0.27,11.41
1.02,0.35,11.10
1.06,0.16,11.06
1.14,0.31,11.30
1.18,0.43,11.41
1.06,0.20,11.57
1.10,0.24,11.30
1.10,0.31,11.10
1.02,0.12,11.45
1.10,0.16,11.38
1.14,0.27,11.41
1.10,0.16,11.53
1.14,0.20,11.30
1.22,0.51,11.02
1.18,0.04,11.06
0.82,-0.12,12.16
1.06,0.24,11.53
0.94,0.67,11.26
1.14,0.20,11.34
1.06,0.35,10.98
1.06,0.35,11.41
1.06,0.24,11.14
1.14,0.20,11.49
1.22,0.24,11.49
1.14,0.27,11.18
1.18,0.35,11.14
1.14,0.51,10.94
