1.10,0.55,11.06
1.06,-0.08,11.53
1.14,-0.12,11.06
1.18,0.67,11.57
1.14,0.47,11.53
1.18,0.24,11.38
1.02,-0.04,11.26
1.14,0.55,11.02
1.10,0.31,11.18
1.10,0.00,11.49
1.10,0.24,11.10
1.14,0.31,11.45
1.14,0.35,11.38
1.26,0.39,11.34
1.02,0.43,11.61
1.10,0.20,11.45
1.02,0.67,11.57
1.02,0.27,11.26
1.02,0.20,11.22
1.29,0.12,11.38
1.06,0.63,11.10
1.14,0.20,11.14
0.98,0.16,10.98
1.14,0.31,11.14
0.98,0.47,11.61
1.18,-0.08,11.30
0.90,0.16,11.69
1.14,0.31,11.22
1.10,0.16,11.61
1.22,0.24,10.94
1.10,0.27,11.18
1.18,0.12,11.30
1.10,0.12,11.85
1.18,0.16,11.41
1.10,0.00,11.22
1.22,1.80,18.59
0.55,-0.63,15.85
2.00,0.43,6.59
1.22,0.35,10.67
1.53,0.39,11.49
0.78,-0.27,12.43
1.02,0.12,11.38
1.02,0.51,11.06
1.06,0.08,11.49
1.26,0.16,11.38
1.10,0.24,11.34
1.10,0.31,11.10
1.06,0.04,11.49
1.14,0.39,11.02
1.02,0.35,11.26
1.10,0.12,11.30
1.10,0.24,11.26
1.10,0.43,11.34
1.06,-0.12,11.57
1.02,0.24,11.38
1.53,-0.16,11.96
1.33,0.04,11.06
1.06,0.16,11.53
1.18,-0.20,11.96
0.90,0.43,11.02
1.29,0.82,12.16
0.98,0.51,11.96
1.18,0.16,11.41
1.18,0.35,11.41
1.22,0.20,11.61
1.14,0.24,10.98
1.14,0.31,11.61
1.06,-0.04,11.53
1.29,0.31,10.75
1.14,0.27,11.38
1.14,0.24,10.79
1.02,0.24,11.38
1.10,0.16,11.38
1.10,0.08,11.30
1.10,0.08,11.73
1.14,0.35,11.18
1.14,0.27,11.18
1.37,0.24,10.71
1.22,0.63,10.83
1.33,0.04,11.41
1.22,0.35,11.18
0.98,0.04,11.30
1.22,0.63,11.18
1.10,0.51,11.65
0.98,0.16,11.45
1.14,0.12,11.30
1.18,0.43,11.30
1.22,0.31,10.90
1.14,0.39,11.10
1.02,0.51,11.30
1.22,0.20,11.41
1.14,0.31,11.22
1.10,0.27,11.34
1.22,0.20,11.14
1.06,0.31,11.41
0.75,-0.04,13.06
1.22,-0.27,11.69
0.90,0.20,11.69
1.02,0.35,11.65
0.90,0.20,11.38
0.94,0.35,11.06
1.10,0.24,11.34
1.10,0.20,11.10
1.06,0.27,11.30
1.14,0.04,11.41
1.18,0.00,11.53
1.18,0.27,11.41
1.10,0.24,11.18
1.06,0.31,11.34
1.18,0.27,10.87
1.10,0.35,11.14
1.18,0.35,11.22
1.06,0.12,11.26
1.02,0.08,11.26
1.18,0.16,11.38
1.14,0.31,11.10
1.06,0.31,11.26
0.94,0.20,11.49
1.10,0.35,11.34
1.14,0.31,11.38
