1.10,0.20,11.34
1.14,0.24,11.18
1.06,0.31,11.02
1.02,0.31,10.90
1.10,0.27,11.26
1.14,0.20,11.14
1.14,0.16,11.06
1.10,0.24,11.10
1.14,0.47,10.24
1.10,0.47,10.08
0.98,0.12,11.89
1.26,0.63,10.00
1.14,0.16,10.90
1.06,0.12,11.69
0.94,0.51,10.94
1.10,0.55,10.40
1.10,0.00,11.53
1.14,0.27,11.02
1.14,0.27,11.18
1.10,0.31,10.98
1.10,0.27,11.18
1.14,0.24,11.06
1.06,0.31,11.14
1.10,0.24,11.14
1.06,0.24,11.14
1.02,0.24,11.18
1.14,0.16,11.22
1.06,0.43,11.06
1.10,0.31,11.06
1.06,0.27,11.22
1.02,0.27,11.18
1.10,0.24,11.14
1.14,0.24,10.90
1.06,0.20,11.14
1.06,0.12,11.30
1.10,-0.04,11.02
1.06,0.16,10.90
1.10,0.16,11.41
1.14,0.27,10.51
1.14,0.55,10.47
1.10,0.20,11.53
1.10,0.27,10.87
1.10,0.31,10.79
1.14,0.24,11.41
1.10,0.24,11.06
1.02,0.24,11.26
1.10,0.27,10.94
1.10,0.35,11.06
1.14,0.35,11.10
1.14,0.16,11.30
1.06,0.31,11.06
1.14,0.27,11.10
1.14,0.20,11.18
1.14,0.16,11.10
1.10,0.16,11.10
1.14,0.24,11.10
1.06,0.31,11.02
1.02,0.35,10.94
1.14,0.00,11.18
1.06,0.31,11.22
1.18,0.00,11.57
1.10,0.12,10.87
1.10,0.00,11.26
1.26,0.35,11.06
1.10,0.27,11.38
1.14,0.35,10.87
1.22,0.27,10.75
1.06,0.20,11.34
1.14,0.16,11.41
1.02,0.35,11.18
1.18,0.27,10.87
1.14,0.16,11.38
1.14,0.47,10.87
1.06,0.31,11.22
1.10,0.08,11.22
1.18,0.20,11.10
1.18,0.20,11.10
1.10,0.12,11.34
1.10,0.35,10.79
0.98,0.35,11.45
1.18,0.12,11.18
0.98,0.08,11.53
1.18,0.39,10.75
1.02,0.47,11.10
0.94,0.16,11.22
1.06,0.00,11.10
1.02,0.24,11.10
1.10,0.35,10.94
1.14,0.27,11.18
1.02,0.24,11.10
1.14,0.16,11.22
1.22,0.20,10.98
1.14,0.24,11.14
1.10,0.20,11.49
1.10,0.08,11.30
1.14,0.31,11.06
1.06,0.35,11.06
1.02,0.16,11.38
1.10,0.27,11.02
1.14,0.12,11.41
1.14,0.24,11.14
1.14,0.24,11.06
1.18,0.27,10.83
1.14,0.31,11.38
1.22,0.39,10.67
1.14,0.20,11.02
1.10,0.16,11.30
1.02,0.12,11.22
1.18,0.39,10.83
1.06,0.12,11.49
1.06,0.16,11.14
1.02,0.08,11.77
1.10,0.39,11.14
1.10,0.31,11.14
1.22,0.20,10.79
1.02,0.31,11.30
1.10,0.39,10.98
1.06,0.20,11.14
1.18,0.27,10.79
1.10,0.24,10.98
