1.14,0.16,11.34
1.10,0.31,11.30
1.10,0.31,11.14
1.10,0.39,11.22
1.14,0.24,11.22
1.26,0.31,11.26
1.14,-0.16,11.73
1.06,0.04,12.83
1.33,0.55,10.63
1.06,0.12,11.57
1.02,0.20,11.38
0.86,0.27,11.49
1.14,0.63,10.71
1.14,0.39,11.49
1.10,0.24,11.34
1.14,0.63,11.22
1.10,0.31,11.06
1.10,0.47,11.14
0.94,0.31,11.49
1.22,0.39,10.90
1.02,0.27,11.30
1.18,0.35,10.83
1.14,0.35,11.26
1.18,-0.55,11.77
0.82,-0.27,12.94
1.18,-0.35,12.36
1.45,-1.22,12.51
1.14,0.35,10.67
1.33,0.24,10.90
1.18,0.47,11.06
1.18,0.47,10.75
1.18,-0.47,11.49
1.02,0.12,10.79
1.14,0.59,11.06
1.10,0.24,11.77
0.90,0.27,11.26
1.10,0.43,11.34
1.22,0.31,11.06
1.06,0.12,11.61
1.18,0.16,11.18
1.14,0.27,11.26
1.14,0.24,11.30
1.18,0.16,11.14
1.18,0.24,11.53
1.06,0.24,11.96
1.02,0.27,11.18
0.82,0.51,12.32
1.02,0.16,12.40
1.22,0.59,11.10
1.14,0.27,11.57
1.45,0.24,10.75
0.94,0.27,10.79
1.02,0.08,11.81
1.18,0.16,11.81
0.94,0.27,11.22
1.22,0.20,11.57
1.10,0.31,11.26
1.10,0.31,11.69
1.14,0.47,10.98
1.18,-0.08,11.06
1.14,0.20,11.65
1.14,0.59,10.98
0.98,0.16,11.92
1.22,0.16,10.79
1.22,0.59,11.61
1.06,0.20,11.49
0.98,0.39,10.71
0.82,0.39,11.10
1.26,0.51,11.06
1.06,0.39,11.06
0.98,0.00,11.73
1.02,0.08,11.30
1.02,0.39,11.65
1.10,0.55,11.53
1.10,0.12,11.06
1.06,0.39,11.06
1.14,0.43,10.94
0.98,0.39,10.94
1.22,0.24,11.45
1.14,0.20,11.34
1.10,0.16,11.18
1.02,0.47,11.26
0.98,0.35,11.49
0.94,0.24,11.57
1.45,0.47,10.59
1.14,0.35,11.34
1.10,0.55,10.79
1.10,0.67,10.71
0.94,0.16,11.61
0.98,0.16,11.73
0.86,0.16,11.34
0.94,0.08,11.53
1.02,0.24,11.26
1.14,0.55,10.90
1.18,0.27,11.18
1.10,0.08,11.38
1.02,0.24,11.53
1.22,0.43,11.22
1.14,0.31,11.18
1.22,0.43,11.14
1.14,0.27,11.30
1.10,0.12,11.26
1.02,0.63,10.59
0.98,0.24,10.87
1.18,0.16,11.49
1.26,0.51,10.67
1.10,0.43,10.63
1.14,0.35,11.10
1.02,0.08,11.26
1.14,0.39,11.45
1.22,0.24,11.49
1.10,0.08,11.30
1.06,0.20,11.02
1.18,0.43,10.87
1.06,0.12,11.34
1.06,0.20,11.45
1.18,0.31,11.38
1.18,0.24,11.34
1.18,0.31,11.45
1.10,0.31,11.57
