1.14,0.20,10.71
1.06,0.47,11.30
1.06,0.20,11.10
1.14,0.12,11.10
1.14,0.47,10.90
1.22,0.31,11.10
1.06,0.24,11.22
1.14,0.24,11.34
1.18,0.16,11.18
1.06,0.20,11.22
1.14,0.27,11.02
1.10,0.24,11.10
1.10,0.16,11.38
1.10,0.08,11.30
1.14,0.27,11.14
1.18,0.00,11.41
1.18,0.20,11.57
1.26,0.43,11.10
1.29,0.24,11.26
1.14,0.51,10.67
1.06,0.35,11.49
1.02,-0.27,11.57
1.10,-0.08,12.32
0.98,0.47,11.10
1.26,0.27,10.79
1.18,0.35,10.71
1.06,0.35,11.30
1.18,0.08,11.22
1.10,0.08,11.57
1.22,0.27,11.22
1.06,0.47,11.10
1.14,0.12,11.02
1.14,0.27,11.30
1.14,0.31,11.26
1.14,0.12,11.14
1.10,0.16,11.22
0.94,0.31,11.22
1.02,0.27,11.22
1.33,0.24,10.83
1.22,0.31,11.30
1.14,0.39,10.63
1.10,0.16,11.14
0.98,0.39,11.30
1.10,0.08,11.38
1.06,0.16,11.18
1.10,0.35,11.26
1.14,0.39,10.98
1.06,0.16,11.26
1.14,0.12,11.30
1.10,0.24,11.26
1.14,0.31,10.94
1.10,0.16,11.30
1.14,0.20,11.14
1.10,0.35,10.98
1.18,0.16,11.06
1.06,0.35,11.26
1.02,-0.04,9.77
0.67,-0.47,14.04
1.26,-2.55,16.00
0.71,0.71,12.08
1.26,1.37,7.34
1.29,0.98,9.49
1.29,0.86,9.57
1.02,0.27,11.49
1.06,-0.16,12.24
1.10,0.31,10.90
0.98,0.04,11.49
1.06,0.00,11.61
0.98,0.16,11.57
1.06,0.20,11.53
1.18,0.27,10.75
1.14,0.27,11.18
1.14,0.20,11.06
1.14,0.08,11.06
1.10,0.39,11.06
1.18,0.20,11.10
1.49,0.35,9.18
0.86,-0.12,12.94
1.14,0.16,11.02
1.29,0.24,10.59
1.14,0.20,11.02
1.02,0.35,11.10
1.14,0.16,10.90
1.02,0.20,11.41
1.02,0.12,11.69
1.06,0.12,11.34
1.06,0.27,11.41
1.02,0.35,11.18
1.06,0.51,10.67
1.10,0.04,11.34
1.02,0.27,11.18
1.18,0.24,11.22
1.10,0.16,11.14
1.14,0.27,11.18
1.10,0.35,11.06
1.14,0.35,10.87
1.18,0.27,11.10
1.18,0.31,11.06
1.02,0.20,11.10
1.10,0.08,11.45
1.14,0.27,11.06
1.14,0.24,11.30
1.06,0.31,11.10
1.14,0.31,10.98
1.06,0.27,10.98
1.14,0.12,11.18
1.06,0.27,11.26
1.10,0.27,11.10
1.02,0.12,11.30
1.10,0.24,11.34
1.18,0.27,11.10
1.18,0.31,11.06
1.14,0.24,10.98
1.14,0.12,11.26
1.10,0.20,11.22
1.10,0.16,11.30
1.14,0.35,11.02
1.10,0.20,11.38
1.10,0.20,11.14
1.10,0.20,11.34
