1.14,0.67,10.71
1.06,0.24,11.41
1.06,0.27,11.18
1.10,0.20,11.73
1.18,0.24,11.30
1.06,0.27,11.61
1.14,0.27,11.18
1.06,0.31,11.38
1.10,0.39,10.87
1.10,0.47,11.69
1.18,-0.31,12.04
1.22,0.71,10.24
1.22,0.75,10.20
1.10,0.20,11.57
1.18,0.31,10.90
1.02,0.59,10.83
1.18,0.20,11.34
1.18,-0.04,11.53
1.06,0.39,11.73
1.14,0.43,11.49
1.10,0.31,11.45
1.22,0.08,11.38
1.18,0.55,11.18
1.10,0.47,11.14
1.14,0.16,11.49
1.14,0.47,8.67
0.75,0.86,10.55
1.57,-0.82,12.83
1.29,0.27,11.92
1.57,0.55,10.04
1.22,0.94,9.06
1.14,0.20,11.77
1.14,0.08,11.89
1.18,-0.20,11.89
1.10,0.67,10.51
1.14,0.39,10.87
1.06,0.24,11.69
1.14,0.20,11.38
1.26,0.27,11.41
1.02,0.31,11.41
1.10,0.27,11.18
1.10,0.31,11.38
1.14,0.16,11.22
1.10,0.16,11.69
1.10,0.16,11.69
1.10,0.31,11.30
1.22,0.75,10.90
1.18,0.08,11.49
0.82,0.27,10.71
0.59,0.24,11.85
1.45,-0.16,11.53
1.02,0.27,12.40
1.37,0.67,9.61
1.02,0.24,11.02
1.18,0.47,11.06
1.18,0.12,10.83
1.14,0.20,11.81
0.98,0.16,11.57
0.98,0.31,11.96
1.10,0.51,11.10
1.22,0.27,11.34
1.14,0.67,11.89
1.10,0.39,10.94
1.10,0.47,11.34
0.98,0.24,11.49
0.86,0.04,11.53
1.33,0.63,10.12
1.10,0.16,11.65
1.22,0.12,10.36
1.06,0.55,11.18
1.02,0.12,11.81
1.10,0.12,11.34
1.10,0.16,11.34
1.10,0.35,11.30
1.10,0.35,11.34
1.06,0.27,10.79
1.14,0.31,11.26
1.18,0.24,11.26
1.06,0.27,11.34
1.26,0.35,11.18
1.02,0.31,11.18
1.02,0.04,11.73
1.10,0.24,11.30
1.22,0.39,11.45
0.98,0.08,11.69
1.10,0.24,11.22
1.06,0.43,11.14
1.26,0.35,10.94
1.10,0.08,11.81
0.98,0.31,11.38
1.10,0.16,11.26
1.14,0.27,11.49
1.06,0.16,11.65
1.18,0.24,11.49
1.18,0.27,11.38
1.06,0.35,11.18
1.14,0.31,11.14
1.10,0.20,11.65
1.10,0.27,11.34
1.18,0.24,11.41
1.10,0.39,11.26
1.33,0.35,10.94
0.90,0.31,11.38
0.98,0.27,11.38
0.82,0.16,11.61
1.29,0.12,11.34
1.22,0.47,10.47
1.22,0.67,11.06
1.06,0.12,11.14
1.02,-0.12,11.73
1.22,0.24,11.41
1.37,0.59,10.71
1.02,0.39,11.30
1.14,0.27,11.06
1.14,0.31,11.53
1.10,0.27,11.26
1.10,0.31,11.14
1.14,0.39,11.34
1.14,0.24,11.34
1.10,0.24,11.38
