1.06,0.31,11.38
1.14,0.47,11.18
1.14,0.24,11.38
1.14,0.20,11.53
1.14,0.43,11.26
1.14,0.43,11.14
1.06,0.20,11.26
1.14,0.24,11.26
1.22,0.35,11.26
1.02,0.27,11.26
1.22,0.20,11.26
0.86,0.51,11.26
1.10,0.20,11.10
1.22,0.39,11.18
1.18,0.16,11.38
1.18,0.04,11.18
1.10,0.16,11.57
1.10,0.35,11.45
1.14,0.16,11.22
1.14,0.20,11.22
1.10,0.39,11.02
1.06,0.24,11.38
1.10,0.12,11.30
1.14,0.27,11.18
1.14,0.20,11.34
1.10,0.27,11.41
1.06,0.27,11.34
1.14,0.27,11.22
1.18,0.35,11.14
1.02,0.43,10.90
1.06,0.31,11.18
1.22,0.24,11.69
1.02,0.24,11.45
1.22,0.43,11.30
1.06,0.24,11.22
1.10,0.20,11.41
1.26,0.43,10.94
1.06,0.35,11.49
1.22,0.31,10.83
1.10,0.12,11.45
1.10,0.39,10.98
1.06,0.35,11.30
1.10,0.20,10.90
1.06,0.31,11.34
1.18,0.31,11.22
1.14,0.35,11.18
1.14,0.24,11.22
1.18,0.20,11.06
1.10,0.27,11.30
1.14,0.04,11.65
1.37,0.20,11.10
0.86,0.39,11.14
1.18,0.27,11.14
0.98,0.31,11.18
1.18,0.16,11.26
1.06,0.47,10.71
1.10,0.51,10.75
1.18,0.20,11.02
1.06,0.16,11.34
1.18,0.24,11.30
1.18,0.20,11.57
1.06,0.31,11.18
1.22,0.20,11.30
1.18,0.12,11.26
1.18,0.20,11.49
1.10,0.47,11.02
0.98,0.35,11.41
0.94,0.55,11.26
1.26,-0.63,12.71
1.14,0.67,10.04
1.10,0.59,10.43
1.14,0.08,11.73
1.10,0.04,11.65
1.10,0.24,11.10
1.18,0.20,11.30
1.06,0.55,11.06
1.22,0.16,11.41
1.18,0.27,11.14
1.14,0.31,11.34
1.10,0.16,11.41
1.06,0.24,11.34
1.14,0.39,11.18
1.18,0.27,10.98
1.10,0.31,11.06
1.14,0.16,11.38
1.18,0.16,11.53
1.10,-0.12,11.85
1.14,0.24,11.30
1.02,0.31,11.53
1.06,0.08,11.77
1.02,0.24,11.53
1.10,0.39,11.57
1.14,0.24,10.63
1.18,-0.12,11.65
1.14,0.27,11.14
1.14,0.24,10.83
1.10,0.16,11.53
1.14,0.39,10.94
1.14,0.43,11.61
1.18,0.08,11.69
1.14,0.35,10.90
1.18,0.12,11.41
1.10,0.16,11.53
1.18,0.31,10.87
1.10,0.12,11.53
1.14,0.12,11.14
0.90,0.27,10.90
0.90,0.31,12.36
1.14,0.35,10.90
1.06,0.20,11.38
1.02,0.43,11.22
0.98,0.24,11.34
1.18,0.16,10.75
1.10,0.20,11.45
1.02,0.08,11.65
1.10,0.39,11.22
1.10,0.51,10.63
1.02,0.24,11.49
1.10,0.27,11.22
1.18,0.31,11.38
